,case title,judges name(s),date of judgment,citation,issues,decision,cited cases
856,Sardar Govindrao Mahadik & Anr vs Devi Sahai & Ors,"Desai, D.A.","15 December, 1981"," 1982 AIR  989, 1982 SCR  (2) 186","Section 2 in The Transfer of Property Act, 1882 ; ",1,"{'smt. saila bala desai v. smt. numala sundari dassi and another ': 0.8, 'g-h] janak raj v. gurdial singh & anr ': 0.8, 'in elizabeth meddison v. john alderson ': 0.8, 'babu murlidhar v. soudagar mohammad abdul bashir and anr ': 1.0, 'thota china subba rao and ors. v. matapelli raju and ors ': 1.0, 'see smt. saila bala desai v. smt. nirmala sundai dassai and another ': 1.0, 'shew bux mohata & ors. v. bengal breweries ltd & ors. undoubtedly the high ': 1.0, 'janak raj v. gurdial singh and anr. this ': 1.0}"
857,R.S. Makashi & Ors vs I.M. Menon & Ors,"Eradi, V. Balakrishna (J)","8 December, 1981"," 1982 AIR  101, 1982 SCR  (2)	 69",Article 32 in The Constitution Of India 1949 ; Article 226 in The Constitution Of India 1949 ; Article 309 in The Constitution Of India 1949 ; article 14 and article 16 ; ,1,"{'s.g. jaisinghani v. union of india & ors ': 0.8, 'bishan sarup gupta v. union of india & ors ': 0.8, 'b-c] tilokchand motichand and ors. v. h.b. munshi and anr ': 0.8, '855, rabindra nath bose and ors. v. union of india and ors ': 0.8, ""malcom lawrence cecil d'souza v. union of india and ors "": 0.8, 's.s. moghe and ors. v. union of india and ors ': 1.0, 'in tilokchand motichand and ors. v. h.b. munshi & anr ': 1.0, 'in rabindra nath bose and ors. v. union of india and ors ': 1.0, 's s. moghe and ors. v. union of india and ors ': 1.0, 'rabindra nath bose v. union of india ': 1.0, 's.g jaisinghani v. union of india and o ors ': 1.0, 'bishan sarup gupta v. union of india and ors ': 1.0}"
858,A.V. Nachane & Another vs Union Of India & Another,"Reddy, O. Chinnappa (J)","28 December, 1981"," 1982 AIR 1126, 1982 SCR  (2) 246","Section 48 in The Life Insurance Corporation Act, 1956 ; Section 3 in The Industrial Disputes Act, 1947 ; ",1,"{'in madan mohan pathak v. union of india and ors ': 0.8, 'life insurance corporation of india v. d.j. bahadur ': 0.8, 'f-g] express newspapers (private) limited and another v. union of india ': 0.8, 'the life insurance corporation of india v. d.j. bahadur and others ': 0.8, 'case express newspapers (private) limited and another v. union of india ': 1.0, 'd.s. garewal v. state of punjab and another ': 1.0, 'delhi v. birla cotton spinning and weaving mills, delhi and another ': 1.0, 'gwalior rayon silk manufacturing (weaving) company limited v. assistant commissioner of sales-tax and others ': 1.0, 'harishankar bagla and another v. state of madhya pradesh ': 1.0, 'd.s. grewal v. state of punjab and another ': 1.0, 'life insurance corporation of india v. d. j bahadur ': 1.0}"
859,J. D. Jain vs The Management Of State Bank Of ...,"Islam, Baharul (J)","17 December, 1981"," 1982 AIR  673, 1982 SCR  (2) 227","Article 226 in The Constitution Of India 1949 ; Article 227 in The Constitution Of India 1949 ; Section 11 in The Industrial Disputes Act, 1947 ; ",0,{'g-235 a] state of haryana & anr. v. rattan singh ': 1.0}
860,Chinnamarkathian Alias Muthu ... vs Ayyavoo Alias Periana Gounder & ...,"Desai, D.A.","10 December, 1981"," 1982 AIR  137, 1982 SCR  (2) 146",,1,"{'d-e] mahant ram das v. ganga das ': 1.0, 'venkitaswami naicker v. ramaswami naicker ': 1.0, 'in mahant ram das v. ganga das ': 1.0}"
861,Sukhvinder Pal Bipan Kumar vs State Of Punjab & Ors,"Koshal, A.D.","2 December, 1981"," 1982 AIR   65, 1982 SCR  (2)	 31",Article 14 in The Constitution Of India 1949 ; Article 32 in The Constitution Of India 1949 ; Article 301 in The Constitution Of India 1949 ; Article 226 in The Constitution Of India 1949 ; ,0,{}
862,Fitrat Raza Khan vs State Of Uttar Pradesh And Ors.,"A Sen, B Islam","1 December, 1981"," AIR 1982 SC 146, 1982 CRILJ 338, 1981 (3) SCALE 1813, (1982) 2 SCC 449, 1982 (14) UJ 26 SC",Section 147 in The Indian Penal Code ; Section 25 in Arms Act ; Section 436 in The Indian Penal Code ; Section 307 in The Indian Penal Code ; ,0,{}
863,Harnek Singh vs State Of Punjab & Ors,"Koshal, A.D.","9 December, 1981", 1982 SCC  (1) 116,Article 32 in The Constitution Of India 1949 ; Section 307 in The Indian Penal Code ; Section 411 in The Indian Penal Code ; Section 414 in The Indian Penal Code ; ,0,{}
864,Prasad & Ors vs V. Govindaswami Mudaliar & Ors,"Desai, D.A.","8 December, 1981"," 1982 AIR   84, 1982 SCR  (2) 109","Section 53 in The Transfer of Property Act, 1882 ; ",0,"{'brij narain v. mangla prasad and ors, l.r ': 0.8, 'shanmukam v. nachu ammal ': 0.8, 'dudh nath v. sat narain ram ': 0.8, 'in sidheshwar mukherjee v. bhubneshwar prasad narain singh and ors ': 1.0, 'in brij narain v. mangla prasad and ors ': 1.0, 'in shanmukam v. nachu ammal ': 1.0, 'in dudh nath v. sat narain ram ': 1.0}"
865,Chhaganlal Keshavlal Mehta vs Patel Narandas Haribhai,"Misra, R.B. (J)","11 December, 1981"," 1982 AIR  121, 1982 SCR  (2) 166","Section 115 in The Indian Evidence Act, 1872 ; Section 60 in The Transfer of Property Act, 1882 ; ",1,{'d-f] motilal yadav v. samal bechar ': 1.0}
866,Choudhary Sahu (Dead) By Lrs vs State Of Bihar,"Misra, R.B. (J)","14 December, 1981"," 1982 AIR   98, 1982 SCR  (2) 178","Article 226 in The Constitution Of India 1949 ; order 41 rule 33 ; order 41,rule 33 of cpc ; ",1,"{'f] nirmala bala ghose & anr. v. balai chand ghose & ors ': 0.8, 'giani ram & ors. v. ramji lal & ors ': 0.8, 'nirmala balai ghosh & anr. v. balai chand ghose & ors ': 1.0, 'giani ram & ors. v. ramiji lal & ors ': 1.0}"
867,Workmen Of Williamson Magor & Co. ... vs Williamson Magor & Co. Ltd. & Anr,"Islam, Baharul (J)","7 December, 1981"," 1982 AIR   78, 1982 SCR  (2)	 42",,1,"{'g, d] bharat bank ltd. v. employees of bharat bank ltd ': 0.8, 'k.c.p. employees association madras v. management of k.c.p. ltd. madras & ors ': 0.8, 'bharat bank limited v. employees of bharat bank ltd. this ': 1.0, ""k. c. p. employees' association, madras v. management of k. c. p. ltd. madras & ors "": 1.0}"
868,E. Mahboob Saheb vs N. Subbarayan Chowdhary & Ors,"Eradi, V. Balakrishna (J)","18 December, 1981"," 1982 AIR  679, 1982 SCR  (2) 238",section 100 code of civil procedure ; ,1,{}
869,State Of U.P vs Jairam Etc,"Chandrachud, Y.V. ((Cj)","1 December, 1981"," 1982 AIR  942, 1982 SCR  (2)	 24",,0,{'a-f] state of bihar v. rambalak singh and others ': 1.0}
870,Ranchhod And Ors. vs State Of Madhya Pradesh,"A Koshal, A Sen","1 December, 1981"," 1981 (3) SCALE 1802, (1982) 1 SCC 436, 1982 (14) UJ 67 SC",Section 149 in The Indian Penal Code ; ,0,{}
871,Union Of India (Uoi) vs Jagdish Prasad,"P Bhagwati, R Pathak, E Venkataramiah","2 December, 1981"," AIR 1982 SC 773, 1983 (31) BLJR 227, 1982 LABLC 441, (1982) 1 SCC 421, 1982 (2) SLJ 7 SC",Article 311 in The Constitution Of India 1949 ; ,0,{}
872,Avtar Singh And Ors. vs State Of Madhya Pradesh,"Y Chandrachud, D Desai, A N Sen","8 December, 1981"," AIR 1982 SC 1260, 1982 CRILJ 1740, (1982) 1 SCC 438",,0,{}
873,Jain Malleables vs Bharat Sahay,"Varadarajan, A. (J)","8 December, 1981"," 1982 AIR   71, 1982 SCR  (2)	 53","Section 14 in The Delhi Rent Act, 1995 ; ",0,"{'a-b] busching schmitz private ltd. v. p.t. menghani and anr ': 1.0, 'k.d. singh v. shri hari babu kanwal ': 1.0, 'j.l. paul v. ranjit singh ': 1.0}"
874,Ashok Kumar Binny And Hansraj vs State Of Jammu & Kashmir & Others,"Pathak, R.S.","10 December, 1981"," 1982 AIR  978, 1982 SCR  (2) 142",Article 21 in The Constitution Of India 1949 ; Article 22 in The Constitution Of India 1949 ; Article 32 in The Constitution Of India 1949 ; ,0,{'shri mritunjoy pramanik v. the state of west bengal ': 1.0}
875,Babu Lal vs Hazari Lal Klshori Lal & Ors,"Misra, R.B. (J)","29 January, 1982"," 1982 AIR  818, 1982 SCR  (3)	 94","Section 22 in The Specific Relief Act, 1963 ; Section 28 in The Specific Relief Act, 1963 ; Section 55 in The Transfer of Property Act, 1882 ; ",0,"{'f-g] kartik chandra pal v. dibakar bhattacharjee ': 0.8, 'hakim enayat ullah v. khalil ullah khan & anr ': 0.8, 'ranjit singh v. kalidasi devi ': 0.8, 'deonandan prasad v. janki singh ': 0.8, 'balmukand v. veer chand ': 0.8, 'janardan kishore v. girdhari lal, a ': 0.8, 'subodh kumar v. hiramoni dasi ': 0.8, 'mohammed ali abdul chanimomin v. bishemi kom abdulla saheb momin & anr ': 0.8, 'a-c] mahender nath gupta v. m/s. moti ram rattan chand & anr ': 0.8, 'm/s. ex-servicemen enterprises (p) ltd. v. sumey singh ': 1.0, 'rameshwar nath v. u.p. union bank ': 1.0, 'b-c] rameswar nath v. uttar pradesh union bank ': 1.0, 'mahender nath gupta v. m/s. moti ram rattan chand judgment ': 1.0, 'a] hungerford investment trust ltd. v. haridas mundhra, & ors ': 1.0, 'lala durga prasad & anr. v. lala deep chand & ors ': 1.0, 'in hakim enayat ullah v. khalil ullah khan and anr ': 1.0, 'in kartik chandra pal v. dibakar bhattacharjee ': 1.0, 'in balmukand v. veer chand ': 1.0, 'in janardan kishore v. girdhari lal the patna high ': 1.0, 'in subodh kumar v. hiramoni dasi the calcutta high ': 1.0, 'in mohammed ali abdul chanimomin v. bishemi kom abdulla saheb momin anr the mysore high ': 1.0, 'in rameshwar nath v. uttar pradesh union bank ': 1.0, 'in mahender nath gupta v. m/s. moti ram rattan chand and anr the delhi high ': 1.0, 'in hungerford investment trust ltd. v. haridas mundhra and ors ': 1.0}"
876,"Kalloomal Tapeswari Prasad ... vs Commissioner Of Income Tax, ...","E Venkataramiah, R Pathak","12 January, 1982"," AIR 1981 SC 1463, 1982 133 ITR 690 SC, 1982 (1) SCALE 11, (1982) 1 SCC 447, 1982 3 SCR 9, 1982 (14) UJ 751 SC","Section 14 in The Income- Tax Act, 1995 ; Section 10 in The Income- Tax Act, 1995 ; Section 23 in The Income- Tax Act, 1995 ; ",0,"{'sir sunder singh majithia v. the commissioner of income-tax, c.p. and u.p ': 0.8, 'in gordhandas t. mangaldas v. commissioner of income-tax, bombay ': 0.8, 'waman satwappa kalghatgi v. commissioner of income-taxi ': 0.8, 'm.s.m.s. meyyappa chettiar v. commissioner of income-tax, madras ': 0.8, 'lakhmichand baijnath v. commissioner of income-tax, west bengal venkatarama aiyar, j ': 1.0, 'kalwa devadattam and ors. v. union of india ': 1.0, 'additional income-tax officer, cuddapah v. thimmayya and anr ': 1.0, 'govinddas and ors. v. income-tax officer and anr ': 1.0, 'charandas haridas am. v. commissioner of income-tax, bombay north ': 1.0, 'a. kannan chetty v. commissioner of income-tax, madras ': 1.0}"
877,Chandrapal Singh And Ors. vs Maharaj Singh And Anr.,"A Varadarajan, D Desai, S M Ali","15 January, 1982"," AIR 1982 SC 1238, 1982 CRILJ 1731, 1982 (1) SCALE 73, (1982) 1 SCC 466, 1982 (14) UJ 517 SC","Section 193 in The Indian Penal Code ; Section 34 in The Delhi Rent Act, 1995 ; section 193 ipc ; section 201 of indian penal code ; section 201 ipc ; under section 199 ipc ; section 199 indian penal code ; ",0,{'kamlapati trivedi v. state of west bengal ': 1.0}
878,"Krapa Rangiah vs Special Deputy Collector, Land ...","A.N.Sen, V Tulzapurkar","5 January, 1982"," AIR 1982 SC 877, 1982 (1) SCALE 548, (1982) 2 SCC 374",,0,{}
879,"Commissioner Of Income Tax, Delhi vs Delhi Safe Deposit Co. Ltd","Venkataramiah, E.S. (J)","12 January, 1982"," 1982 AIR  757, 1982 SCR  (3)	  1","Section 187 in The Income- Tax Act, 1995 ; ",0,"{'kerala v. malayalam plantation ltd ': 1.0, 'in commissioner of income-tax, kerala v. malayalam plantation ltd. subba rao, j ': 1.0}"
880,Mayur Panabhai Shah vs State Of Gujarat,"E Venkataramiah, P Bhagwati","22 January, 1982"," AIR 1983 SC 66, 1982 CRILJ 1972, 1982 (1) SCALE 523, (1982) 2 SCC 396",Section 376 in The Indian Penal Code ; ,0,{}
881,State Of Uttar Pradesh vs Mohd. Sharif (Dead) Through Lrs.,"A.N.Sen, V Tulzapurkar","13 January, 1982"," AIR 1982 SC 937, 1982 (45) FLR 289, 1982 LABLC 1234, (1982) IILLJ 180 SC, (1982) 2 SCC 376, 1982 (2) SLJ 259 SC",,0,{}
882,D. Ramaswami vs State Of Tamil Nadu,"Reddy, O. Chinnappa (J)","28 January, 1982"," 1982 AIR  793, 1982 SCR  (3)	 75",,0,"{'a-b] swami saran saksena v. state of u.p ': 1.0, 'baldev raj chadha v. union of india & ors ': 1.0, 'state of punjab v. dewan chuni lal ': 1.0}"
883,State Of Madhya Pradesh vs Dewadas & Ors,"Reddy, O. Chinnappa (J)(3),(q),(ii),(q),(1),(1),(2),(1),(3),(2),(3),(3),(1),(q),(ii),","29 January, 1982",,"Section 378 in The Code Of Criminal Procedure, 1973 ; ",1,"{'state of rajasthan v. ramdeen & ors ': 1.0, 'in the state of rajasthan v. ramdeen & ors ': 1.0}"
884,Munna & Others Etc vs State Of U.P. And Others Etc,"Bhagwati, P.N.","19 January, 1982"," 1982 AIR  806, 1982 SCR  (3)	 47","Section 23 in The Children Act, 1960 ; Section 2 in The Children Act, 1960 ; Section 30 in The Children Act, 1960 ; Section 29 in The Children Act, 1960 ; ",1,{}
885,Champalal Poonjaji Shah vs State Of Maharashtra,"Reddy, O. Chinnappa (J)","27 January, 1982"," 1982 AIR  791, 1982 SCR  (3)	 61","Section 428 in The Code Of Criminal Procedure, 1973 ; Article 32 in The Constitution Of India 1949 ; section 428 code of criminal procedure ; section 428 crpc ; ",1,"{'government of andhra pradesh and another v. venkateswara rao ': 1.0, 'in government of andhra pradesh v. venkateswara rao ': 1.0, 'govt. of andhra pradesh & anr. v. anne venkateswara rao ': 1.0}"
886,State Of Uttar Pradesh vs Major Jitendra Kumar And Ors.,"A.N.Sen, V Tulzapurkar","19 January, 1982"," AIR 1982 SC 876, 1982 (1) SCALE 873, (1982) 2 SCC 382","Section 4 in The Land Acquisition Act, 1894 ; Section 6 in The Land Acquisition Act, 1894 ; ",0,{}
887,Gopi Ram And Ors. vs State Of Haryana And Ors.,"Y Chandrachud, O C Reddy","14 January, 1982"," 1982 (2) SCALE 946, (1983) 2 SCC 472",,0,{'seth nand lal and anr. v. state of haryana & ors ': 1.0}
888,Mst. Khatoon vs Mohd. Yamin,"A Varadarajan, D Desai, S M Ali","5 January, 1982"," AIR 1982 SC 853, 1982 (1) SCALE 551, (1982) 2 SCC 373","Section 125 in The Code Of Criminal Procedure, 1973 ; ",0,{}
889,Lingo Sulphate Corporation Of ... vs U.P. State Sugar Corporation ...,"Misra, R.B. (J)","27 January, 1982"," 1982 AIR  786, 1982 SCR  (3)	 66","Article 32 in The Constitution Of India 1949 ; Article 14 in The Constitution Of India 1949 ; Section 3 in The Uttar Pradesh Appropriation Act, 1996 ; ",0,{}
890,"Sarvesh Narain Mishra And Ors. vs Vice-Chancellor, Aligarh Muslim ...","Chandrachud, O C Reddy, A Sen","21 January, 1982"," AIR 1982 SC 843, (1982) 2 SCC 363",,0,{}
891,Madhu Bala vs Narender Kumar And Ors.,"E Venkataramiah, P Bhagwati","4 January, 1982"," AIR 1982 SC 938, 1982 CRILJ 855, (1982) 2 SCC 444",,0,{}
892,Government Of Andhra Pradesh vs Y.S. Parkashrao And Anr.,"A Koshal, R Mishra, V B Eradi","14 January, 1982"," 1982 (1) SCALE 435, (1982) 2 SCC 385",,0,{}
893,C.D. Korpal vs Capt. A.K. Madan And Ors.,"E Venkataramiah, P Bhagwati","11 January, 1982"," AIR 1982 SC 1455, (1982) 3 SCC 375",,0,{}
894,Kuljit Singh Alias Ranga vs Lt. Governor Of Delhi & Ors,"Chandrachud, Y.V. ((Cj)","20 January, 1982"," 1982 AIR  774, 1982 SCR  (3)	 58",Article 72 in The Constitution Of India 1949 ; Article 32 in The Constitution Of India 1949 ; ,0,{'kuljeet singh @ ranga v. union of india & anr. we ': 1.0}
895,Smt. Anand Kaur vs Pritam Lal,"Koshal, A.D.","14 January, 1982"," 1982 AIR  777, 1982 SCR  (3)	 43","Section 14 in The Delhi Rent Act, 1995 ; Section 15 in The Delhi Rent Act, 1995 ; Section 106 in The Transfer of Property Act, 1882 ; ",1,{}
896,Anil Kumar Pandey vs State Of Uttar Pradesh,"E Venkataramiah, P Bhagwati","11 January, 1982"," 1982 (1) SCALE 524, (1982) 2 SCC 395",Section 326 in The Indian Penal Code ; Section 324 in The Indian Penal Code ; Section 5 in The Indian Penal Code ; ,1,{}
897,Kulwant Singh And Ors. vs Smt. Amar Kaur And Ors.,"A Varadarajan, D Desai","14 January, 1982"," AIR 1982 SC 1172, (1982) 3 SCC 319",,1,{}
898,Patel Ambalal Gokalbhai vs State Of Gujarat And Ors.,"A.N.Sen, V Tulzapurkar","13 January, 1982"," AIR 1982 SC 1090, (1982) 2 GLR 123, 1982 (1) SCALE 513 A, (1982) 3 SCC 316",Article 31 in The Constitution Of India 1949 ; Article 14 in The Constitution Of India 1949 ; Article 19 in The Constitution Of India 1949 ; ,1,{}
899,Ex-Capt. Ashok Kumar Sawhney vs Union Of India & Others,"Koshal, A.D.","13 January, 1982"," 1982 AIR  795, 1982 SCR  (3)	 38",Article 32 in The Constitution Of India 1949 ; ,1,{}
900,Indubhai Ambalal Patel And Ors. vs State Of Andhra Pradesh,"A.N.Sen, V Tulzapurkar","12 January, 1982"," AIR 1982 SC 939, (1982) 2 SCC 386",,1,{}
901,G.D. Hans vs High Court Of Punjab And Haryana ...,"B Islam, E Venkataramiah","19 January, 1982"," 1982 (1) SCALE 513, (1982) 2 SCC 379",,1,{}
902,Sukhbinder Kaur And Ors. vs Nirmolak Singh And Ors.,"A Varadarajan, E Venkataramiah, P Bhagwati","18 January, 1982"," 1982 (1) SCALE 504, (1982) 2 SCC 348",,1,{}
903,Sukhdev Singh vs State Of Punjab,"A Varadarajan, E Venkataramiah, P Bhagwati","18 January, 1982"," 1982 (1) SCALE 514 A, (1982) 2 SCC 439",,1,{}
904,"Kalloomal Tapeswari Prasad ... vs The C. I. T., Kanpur(And Vice ...","Venkataramiah, E.S. (J)","12 January, 1982"," 1982 AIR  760, 1982 SCR  (3)	  9","Section 14 in The Income- Tax Act, 1995 ; Section 23 in The Income- Tax Act, 1995 ; ",1,"{'k. v. a. l. m. ramanathan chettiar ... vs commissioner of income-tax, ... on 11 october, 1972 ': 0.8, 'a-d] govinddas & ors. v. income-tax officer & anr ': 0.8, 'charandas haridas & anr. v. commissioner of income-tax, bombay north, kutch & saurashtra, ahmedabad & anr ': 0.8, 'a. kannan chetty v. commissioner of income-tax, madras ': 0.8, 'd-e] sir sunder singh majithia v. the commissioner of income-tax ': 0.8, 'gordhandas t. mangaldas v. commissioner of income-tax bombay ': 0.8, 'waman satwappa kalghatgi v. commissioner of income-tax ': 1.0, 'm.s.m.s. meyyappa chettiar v. commissioner of income-tax, madras ': 1.0, 'lakhmtchand baijnath v. commissioner of income-tax west bengal ': 1.0, 'kalwa devadatta and ors. v. vnion of india and ors ': 1.0, 'additional income-tax officer, cuddapah v. a. thimmayya and anr ': 1.0, 'in gordhandas t. mangaldas v. commissioner of income ': 1.0, 'lakhmichand baijnath v. commissioner of income-tax, west bengal ': 1.0, 'kalwa devadattam and ors. v. union of india ': 1.0, 'additional income-tax officer, cuddapah v. thimmayya and anr ': 1.0, 'charandas haridas anr. v. commissioner of income-tax, bombay north ': 1.0, 'a. kannan chetty v. commissioner of income ': 1.0}"
905,Naba Parray And Ors. vs State Of Jammu & Kashmir,"O C Reddy, A Sen, B Islam","4 January, 1982"," AIR 1982 SC 1200, 1982 CRILJ 1576",,1,{}
906,Union Of India (Uoi) vs Pooranchandra Rao,"B Islam, E Venkataramiah","20 January, 1982"," 1982 (1) SCALE 514, (1982) 2 SCC 41",Article 16 in The Constitution Of India 1949 ; Article 14 in The Constitution Of India 1949 ; ,1,{}
907,Sourindra Mohan Hazra vs State Of West Bengal And Ors.,"E Venkataramiah, P Bhagawati","11 January, 1982"," AIR 1982 SC 1193, 1982 (2) SCALE 937, (1982) 2 SCC 360",,1,{}
908,Mohd. Salim Khan vs State Of Uttar Pradesh,"A Varadarajan, D Desai, S M Ali","12 January, 1982"," AIR 1982 SC 1096, 1982 CRILJ 1242, (1982) 2 SCC 347",,1,{}
909,Digpal Singh vs State Of U.P.,"V Tulzapurkar, A N Sen","22 January, 1982"," AIR 1982 SC 941, 1982 CRILJ 849",,0,{}
910,State Of West Bengal & Ors vs Swapan Kumar Guha & Ors,"Chandrachud, Y.V. ((Cj)","2 February, 1982"," 1982 AIR  949, 1982 SCR  (3) 121","Section 2 in BANKING REGULATION ACT,1949 ; Section 3 in BANKING REGULATION ACT,1949 ; ",0,"{'d-f] w.h. king v. republic of india ': 0.8, 'm.v. joshi v. m.u. shimpi ': 0.8, 'r.p. kapur v. the state of punjab ': 0.8, 's.n. sharma v. bipen kumar tiwari ': 0.8, 'state of west bengal v. s.n. basak ': 0.8, 'jehan singh v. delhi administration ': 0.8, 'g] prabhu dayal deorah v. the district magistrate, kamrup ': 0.8, 'a-b] w.h. king v. republic of india ': 1.0, 'm. v. joshi v. m.u. shimpi ': 1.0, 'in r.p. kapur v. the state of punjab ': 1.0, 'in s.n. sharma v. bipen kumar tiwari ': 1.0, 'in jehan singh v. delhi administration ': 1.0, 'state of bihar and anr. v. j.a.c ': 1.0, 's.n. sharma v. bipan kumar tiwari ': 1.0, 'r.p. kapur v. state of punjab ': 1.0, 's.n. sharma v. bipin kumar tiwari ': 1.0, 'srinivasa enterprises v. union of india ': 1.0, 'srinivas enterprises v. union of india ': 1.0}"
911,Randhir Singh vs Union Of India & Ors,"Reddy, O. Chinnappa (J)","22 February, 1982"," 1982 AIR  879, 1982 SCR  (3) 298",Article 14 in The Constitution Of India 1949 ; Article 32 in The Constitution Of India 1949 ; Article 16 in The Constitution Of India 1949 ; ,0,{'kishori mohanlal bakshi v. union of india ': 1.0}
912,L. Robert D'Souza vs The Executive Engineer Southern ...,"Desai, D.A.","16 February, 1982"," 1982 AIR  854, 1982 SCR  (3) 251","Section 2 in The Industrial Disputes Act, 1947 ; ",0,"{'a-b] delhi cloth & general mills ltd. v. shambhu nath mukherji ': 0.8, 'state bank of india v. n. sundera money ': 0.8, 'hindustan steel ltd. v. presiding officer, labour ': 0.8, 'mohan lal v. bharat electronics ltd ': 0.8, 'hariprasad shivshanker shukla v. a.d. divikar ': 0.8, 'c-d] surendra kumar verma & ors. v. central government industrial-cum-labour ': 0.8, 'e-g] workmen of sur iron & steel co. (p) ltd. v. sur iron & steel company (p) ltd ': 1.0, 'tata iron & steel company ltd. v. workmen ': 1.0, 'assam match co. ltd. v. bijoy lal sen ': 1.0, ""l. robert d'souza v. executive engineer, southern railway and anr "": 1.0, 'santosh gupta v. state bank of patiala ': 1.0, 'pipraich sugar mills ltd. v. pipraich sugar mills mazdoor union ': 1.0, 'surendra kumar verma & ors. v. central government industrial tribunal-cum-labour ': 1.0, 'see workmen of sur iron & steel co. (p) ltd. v. sur iron & steel company (p) ltd., tata iron & steel company ltd ': 1.0, 'workmen and assam match co. ltd. v. bijoy lal sen ': 1.0}"
913,Jyoti Basu & Others vs Debi Ghosal & Others,"Reddy, O. Chinnappa (J)","26 February, 1982"," 1982 AIR  983, 1982 SCR  (3) 318","Section 82 in The Representation of the People Act, 1951 ; Section 86 in The Representation of the People Act, 1951 ; ",1,"{'a-c] mohan raj v. surendra kumar taparia & ors ': 0.8, 'scr and r. venkateswara rao & anr. v. bekkam narasimha reddi & ors ': 0.8, 'n.p. ponnuswami v. returning officer ': 0.8, 'jagan nath v. jaswant singh ': 0.8, 'in mohan raj v. surendra kumar taparia & ors ': 1.0, 'k. venkateswara rao & anr. v. bekkam narasimha reddi and ors ': 1.0, 's.b. adityen & anr. v. s. kandaswami & ors ': 1.0, 'h.r. gokhale v. bharucha noshir c. & ors ': 1.0, 's. iqbal singh v. s. gurdas singh badal & ors ': 1.0}"
914,Padma Srinivasan vs Premier Insurance Co. Ltd,"Chandrachud, Y.V. ((Cj)","16 February, 1982"," 1982 AIR  836, 1982 SCR  (3) 244","Section 95 in The Motor Vehicles Act, 1988 ; ",1,{'sanjiva shetty s. v. anantha ': 1.0}
915,Bhikoba Shankar Dhumal (Dead) By ... vs Mohan Lal Punchand Tathed & Ors,"Venkataramiah, E.S. (J)","11 February, 1982"," 1982 AIR  865, 1982 SCR  (3) 218","Section 21 in The Urban Land (Ceiling and Regulation) Act, 1976 ; Section 3 in The Urban Land (Ceiling and Regulation) Act, 1976 ; Section 10 in The Urban Land (Ceiling and Regulation) Act, 1976 ; Section 8 in The Urban Land (Ceiling and Regulation) Act, 1976 ; ",0,"{'a-c] raghunath laxman wani & ors. v. state of maharashtra & ors ': 0.8, 'dadarao kashiram v. the state of maharashtra ': 0.8, 'commissioner of income tax v. ellis c. reid ': 1.0, 'commissioner of income-tax, bombay city v. amarchand n. shroff ': 1.0, 'in raghunath laxman wani & ors. v. state of maharashtra & ors ': 1.0}"
916,Harbans Singh vs State Of U.P. & Others,"Chandrachud, Y.V. ((Cj)","12 February, 1982"," 1982 AIR  849, 1982 SCR  (3) 235",Article 72 in The Constitution Of India 1949 ; Article 14 in The Constitution Of India 1949 ; Section 302 in The Indian Penal Code ; Article 21 in The Constitution Of India 1949 ; ,0,{}
917,Manzoor vs State Of Uttar Pradesh,"A Varadarajan, E Venkataramiah","15 February, 1982"," AIR 1983 SC 295, 1983 CRILJ 441, 1982 (1) SCALE 407, (1982) 2 SCC 72",Section 302 in The Indian Penal Code ; Section 34 in The Indian Penal Code ; ,0,{}
918,Mohammad Arif vs Allah Rabbul Alamin And Ors.,"A Sen, V Tulzapurkar","15 February, 1982"," 1982 (1) SCALE 543, (1982) 2 SCC 455",,0,{}
919,"Hercules Trading Corporation (P) ... vs Commissioner Of Income Tax, ...","R Pathak, V Tulzapurkar","17 February, 1982"," 1982 (1) SCALE 544, (1982) 2 SCC 32","Section 266 in The Income- Tax Act, 1995 ; ",0,{}
920,Mohanlal Gangaram Gehani vs State Of Maharastra,"Fazalali, Syed Murtaza","17 February, 1982"," 1982 AIR  839, 1982 SCR  (3) 277","Section 145 in The Indian Evidence Act, 1872 ; Section 34 in The Indian Penal Code ; Section 326 in The Indian Penal Code ; ",0,"{'in bishwanath prasad & ors. v. dwarka prasad and ors ': 1.0, 'v.c. shukla v. state (delhi administration ': 1.0}"
921,Babu Singh Chauhan vs Rajkumari Jain & Ors,"Fazalali, Syed Murtaza","1 February, 1982"," 1982 AIR  810, 1982 SCR  (3) 114",,0,{}
922,Parashram Thakur Dass & Others vs Ram Chand S/O Shri Radhumal & ...,"Pathak, R.S.","17 February, 1982"," 1982 AIR  872, 1982 SCR  (3) 288",rule 26 a ; ,0,{}
923,Municipal Council Damoh vs Vraj Lal Manilal & Co. & Others,"Tulzapurkar, V.D.","23 February, 1982"," 1982 AIR  844, 1982 SCR  (3) 307","Section 84 in The Insurance Act, 1938 ; Section 85 in The Insurance Act, 1938 ; Section 83 in The Insurance Act, 1938 ; ",0,{}
